"Complex","Class","R1","HanschPi1","Hammett1","VdW1","R2","HanschPi2","Hammett2","VdW2","R3","HanschPi3","Hammett3","VdW3","R4","HanschPi4","Hammett4","VdW4","R5","HanschPi5","Hammett5","VdW5","R6","HanschPi6","Hammett6","VdW6","Bridge","HanschPi7","Hammett7","VdW7"
"CC(C)O[Ti]1(OC2=C3C=C(C)C(C)=C2)(OC(C)C)([N](C4)(CC)CC[N]1(C3)CC)OC5=C4C=C(C)C(C)=C5","ONNO","*CC","1.157","-0.133","28.95192","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"FC1=CC(O[Ti]2(OC(C)C)(OC(C)C)([N](C3)(C)CC[N]2(C4)C)OC5=C3C(F)=CC(F)=C5)=C4C(F)=C1","ONNO","*C","0.76","-0.134","15.094619999999999","*F","0.379","0.064","6.0993900000000005","","0","0","1.32","*F","0.379","0.064","6.0993900000000005","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"ClC1=CC(O[Ti]2(OC(C)C)(OC(C)C)([N](C3)(C)CC[N]2(C4)C)OC5=C3C(Cl)=CC(Cl)=C5)=C4C(Cl)=C1","ONNO","*C","0.76","-0.134","15.094619999999999","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"BrC1=CC(O[Ti]2(OC(C)C)(OC(C)C)([N](C3)(C)CC[N]2(C4)C)OC5=C3C(Br)=CC(Br)=C5)=C4C(Br)=C1","ONNO","*C","0.76","-0.134","15.094619999999999","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC(C)(C)C1=CC(O[Ti]2(OC(C)C)(OC(C)C)([N](C3)(C)CC[N]2(C4)C)OC5=C4C=CC(C(C)(C)C)=C5)=C3C=C1","ONNO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"C[N]1(C2)[Ti](OC3=C4C=C(C)C(C)=C3)(OC5=C6C=CC=C5)(O6)([N](C4)(C)CC1)OC7=C2C=C(C)C(C)=C7","ONNO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"[Ti](Cl)Cl.CCC(C1=CC=CC=C1OC)c2cccc2.CCC(C3=C(OC)C=CC=C3)c4cccc4","M","*C(CC)c1ccccc1OC","2.121","-0.191","121.87593000000003","*C(CC)c1ccccc1OC","2.121","-0.191","121.87593000000003","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CCCCC(C1=CC=CC=C1OC)c2cccc2.CCCCC(C3=C(OC)C=CC=C3)c4cccc4","M","*C(CCCC)c1ccccc1OC","2.121","-0.191","149.59052999999997","*C(CCCC)c1ccccc1OC","2.121","-0.191","149.59052999999997","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(C)CC(C1=CC=CC=C1OC)c2cccc2.CC(C)CC(C3=C(OC)C=CC=C3)c4cccc4","M","*C(CC(C)C)c1ccccc1OC","2.121","-0.191","149.59052999999997","*C(CC(C)C)c1ccccc1OC","2.121","-0.191","149.59052999999997","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.C=CCC(C1=CC=CC=C1OC)c2cccc2.C=CCC(C3=C(OC)C=CC=C3)c4cccc4","M","*C(CC=C)c1ccccc1OC","2.121","-0.191","133.61859000000007","*C(CC=C)c1ccccc1OC","2.121","-0.191","133.61859000000007","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(C1=CC=CC=C1OC)c2cccc2.CC(C3=C(OC)C=CC=C3)c4cccc4","M","*C(C)c1ccccc1OC","2.121","-0.191","108.01863000000002","*C(C)c1ccccc1OC","2.121","-0.191","108.01863000000002","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.COC1=CC=CC=C1C(C2=CC=CC=C2)c3cccc3.COC(C=CC=C4)=C4C(C5=CC=CC=C5)c6cccc6","M","*C(c1ccccc1)c1ccccc1OC","2.121","-0.191","152.32995","*C(c1ccccc1)c1ccccc1OC","2.121","-0.191","152.32995","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"C[N]12[Ti]34(OC5=C(C=C(C)C=C5C)C2)(OC6=C(C)C=C(C)C=C6C[N]3(C)CC(C=C(C)C=C7C)=C7O4)OC8=C(C)C=C(C)C=C8C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","No bridge","N/A","N/A","N/A"
"C[N]12[Ti]34(OC5=C(C=C(C)C=C5OC)C2)(OC6=C(OC)C=C(C)C=C6C[N]3(C)CC(C=C(C)C=C7OC)=C7O4)OC8=C(OC)C=C(C)C=C8C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"CC[N]12[Ti]34(OC5=C(C=C(C)C=C5OC)C2)(OC6=C(OC)C=C(C)C=C6C[N]3(CC)CC(C=C(C)C=C7OC)=C7O4)OC8=C(OC)C=C(C)C=C8C1","ONO","*CC","1.157","-0.133","28.95192","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"C[N]12[Ti]34(OC5=C(C=C(OC)C=C5C)C2)(OC6=C(C)C=C(OC)C=C6C[N]3(C)CC(C=C(OC)C=C7C)=C7O4)OC8=C(C)C=C(OC)C=C8C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","No bridge","N/A","N/A","N/A"
"C[N]12[Ti]34(OC5=C(C=C(OC)C=C5OC)C2)(OC6=C(OC)C=C(OC)C=C6C[N]3(C)CC(C=C(OC)C=C7OC)=C7O4)OC8=C(OC)C=C(OC)C=C8C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"FC1=CC2=C(O[Ti]345(OC6=C(C)C=C(F)C=C6C[N]4(C)CC(C=C(F)C=C7C)=C7O5)OC8=C(C)C=C(F)C=C8C[N]3(C2)C)C(C)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*F","0.379","0.064","6.0993900000000005","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","No bridge","N/A","N/A","N/A"
"ClC1=CC2=C(O[Ti]345(OC6=C(Cl)C=C(Cl)C=C6C[N]4(C)CC(C=C(Cl)C=C7Cl)=C7O5)OC8=C(Cl)C=C(Cl)C=C8C[N]3(C2)C)C(Cl)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","No bridge","N/A","N/A","N/A"
"C[N]12[Ti]34(OC5=C(C=C(C)C=C5OCC)C2)(OC6=C(OCC)C=C(C)C=C6C[N]3(C)CC(C=C(C)C=C7OCC)=C7O4)OC8=C(OCC)C=C(C)C=C8C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*OCC","0.33","-0.269","35.992709999999995","","0","0","1.32","No bridge","N/A","N/A","N/A"
"C=CCC1=CC2=C(O[Ti]345(OC6=C(OC)C=C(CC=C)C=C6C[N]4(C)CC(C=C(CC=C)C=C7OC)=C7O5)OC8=C(OC)C=C(CC=C)C=C8C[N]3(C2)C)C(OC)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*CC=C","1.338","-0.11","40.69458","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"CCC1=CC2=C(O[Ti]345(OC6=C(OC)C=C(CC)C=C6C[N]4(C)CC(C=C(CC)C=C7OC)=C7O5)OC8=C(OC)C=C(CC)C=C8C[N]3(C2)C)C(OC)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*CC","1.157","-0.133","28.95192","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"CCCC1=CC2=C(O[Ti]345(OC6=C(OC)C=C(CCC)C=C6C[N]4(C)CC(C=C(CCC)C=C7OC)=C7O5)OC8=C(OC)C=C(CCC)C=C8C[N]3(C2)C)C(OC)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*CCC","1.553","-0.131","42.80921999999999","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"O=CC1=CC(OC)=C2O[Ti]345(OC6=C(OC)C=C(C=O)C=C6C[N]4(C)CC(C=C(C=O)C=C7OC)=C7O5)OC8=C(C=C(C=O)C=C8OC)C[N]3(C)CC2=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*C=O","-0.42","0.394","20.020770000000002","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"CC1=CC2=C(O[Ti]345(OC6=C(OC)C=C(CC=C)C=C6C[N@]4(C)CC(C=C(C)C=C7OC)=C7O5)OC8=C(OC)C=C(CC=C)C=C8C[N@]3(C2)C)C(OC)=C1","ONO","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*CC=C","1.338","-0.11","40.69458","","0","0","1.32","*OC","-0.013","-0.251","22.135409999999997","","0","0","1.32","No bridge","N/A","N/A","N/A"
"O=[Ti]1(OC(C2)=O)([N@@]3(CC4=CC=CC=C4O)CC5=O)(O5)[N@@]2(CC3)CC(C=CC=C6)=C6O1","ONNO","*CC(=O)O","-0.282","0.083","40.91886","","0","0","1.32","","0","0","1.32","","0","0","1.32","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC1=CC(Br)=C2O[Ti]3(OC4=C(Br)C=C(C)C=C4C5)(OC(C)C)(OC(C)C)[N]6(CC2=C1)C(CCC6)C7[N@@]35CCC7","ONNO","*CCC","1.553","-0.131","42.80921999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","*CCCC(*)C(*)CCC*","0.851","-0.126","47.0"
"CC1=CC(Br)=C2O[Ti]3(OC4=C(Br)C=C(C)C=C4C5)(OC(C)C)(OC(C)C)[N]6(CC2=C1)C(CCC6)C7[N@]35CCC7","ONNO","*CCC","1.553","-0.131","42.80921999999999","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","*CCCC(*)C(*)CCC*","0.851","-0.126","47.0"
"CC1=CC2=C(O[Ti]([N@@]3([H])C2)(OC(C(Br)=CC(C)=C4)=C4C5)(OC(C)C)(OC(C)C)[N]5([H])[C@@H]6[C@H]3CCCC6)C(Br)=C1","ONNO","","0","0","1.32","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","*[C@H]1CCCC[C@H]1*","0.839","-0.229","34.0"
"CC1=CC2=C(O[Ti]([N@]3([H])C2)(OC(C(Br)=CC(C)=C4)=C4C5)(OC(C)C)(OC(C)C)[N]5([H])[C@H]6[C@@H]3CCCC6)C(Br)=C1","ONNO","","0","0","1.32","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*Br","1.032","0.241","16.680600000000002","","0","0","1.32","*[C@H]1CCCC[C@H]1*","0.839","-0.229","34.0"
"CC1=CC2=C(O[Ti]([N@@]3([H])C2)(OC(C=CC(C)=C4)=C4C5)(OC(C)C)(OC(C)C)[N]5([H])[C@@H]6[C@H]3CCCC6)C=C1","ONNO","","0","0","1.32","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","","0","0","1.32","*[C@H]1CCCC[C@H]1*","0.839","-0.229","34.0"
"CC1=CC2=C(O[Ti]([N@]3([H])C2)(OC(C=CC(C)=C4)=C4C5)(OC(C)C)(OC(C)C)[N]5([H])[C@H]6[C@@H]3CCCC6)C=C1","ONNO","","0","0","1.32","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","","0","0","1.32","*[C@H]1CCCC[C@H]1*","0.839","-0.229","34.0"
"CC1=CC2=C(O[Ti]34(OCC5)(O6)OCC[N@@]3(C2)CC[N@@]45CC7=C6C=C(C)C(C)=C7)C=C1C","ONNO","*CCO","0.009","-0.05","35.992709999999995","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"FC1=CC2=C(O[Ti]34(OCC5)(O6)OCC[N@@]3(C2)CC[N@@]45CC7=C6C(Cl)=CC(F)=C7)C(Cl)=C1","ONNO","*CCO","0.009","-0.05","35.992709999999995","","0","0","1.32","*F","0.379","0.064","6.0993900000000005","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"O=[N+](C1=CC2=C(O[Ti]34(OCC5)(O6)OCC[N@@]3(C2)CC[N@@]45CC7=C6C=CC([N+]([O-])=O)=C7)C=C1)[O-]","ONNO","*CCO","0.009","-0.05","35.992709999999995","","0","0","1.32","*[N+](=O)[O-]","0.165","0.864","22.015260000000005","","0","0","1.32","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"CC1=CC=CC(C)=C1O[Ti]23(OC4=CC=C(C)C=C4C=[N]3C5=C6C=CC=C5)(OC7=C(C)C=CC=C7C)[N]6=CC8=CC(C)=CC=C8O2","ONNOen","No ligand","N/A","N/A","N/A","","0","0","1.32","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","","0","0","1.32","","0","0","1.32","*c1ccccc1*","1.194","-0.104","26.5"
"CC1=CC=CC(C)=C1O[Ti]23(OC4=CC=CC=C4C=[N]3C5=C6C=CC=C5)(OC7=C(C)C=CC=C7C)[N]6=CC8=CC=CC=C8O2","ONNOen","No ligand","N/A","N/A","N/A","","0","0","1.32","","0","0","1.32","","0","0","1.32","","0","0","1.32","","0","0","1.32","*c1ccccc1*","1.194","-0.104","26.5"
"CC1=CC=CC(C)=C1O[Ti]23(OC4=CC=C(Cl)C=C4C=[N]3C5=C6C=CC=C5)(OC7=C(C)C=CC=C7C)[N]6=CC8=CC(Cl)=CC=C8O2","ONNOen","No ligand","N/A","N/A","N/A","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","","0","0","1.32","","0","0","1.32","*c1ccccc1*","1.194","-0.104","26.5"
"CC1=CC=CC(C)=C1O[Ti]23(OC4=C(Cl)C=CC=C4C=[N]3C5=C6C=CC=C5)(OC7=C(C)C=CC=C7C)[N]6=CC8=CC=CC(Cl)=C8O2","ONNOen","No ligand","N/A","N/A","N/A","","0","0","1.32","","0","0","1.32","","0","0","1.32","*Cl","0.758","0.168","13.420530000000001","","0","0","1.32","*c1ccccc1*","1.194","-0.104","26.5"
"C[N]1(C2)[Ti]3(OC(C)C)(OC(C)C)(OC4=C2C=C([N+]([O-])=O)C=C4)OC5=CC=CC=C5C=[N]3CC1.C.C","ONNOalen","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*[N+](=O)[O-]","0.165","0.864","22.015260000000005","","0","0","1.32","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"C[N]1(C2)[Ti]3(OC(C)C)(OC(C)C)(OC4=C2C=C([N+]([O-])=O)C=C4)OC5=C(C(C)(C)C)C=C(C(C)(C)C)C=C5C=[N]3CC1","ONNOalen","No ligand","N/A","N/A","N/A","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"C[N]1(C2)[Ti]3(OC(C)C)(OC(C)C)(OC4=C2C=C([N+]([O-])=O)C=C4)OC5=C(F)C=C(F)C=C5C=[N]3CC1","ONNOalen","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*[N+](=O)[O-]","0.165","0.864","22.015260000000005","","0","0","1.32","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"C[N]1(C2)[Ti]34(OC5=C(C=CC=C5)O4)(OC6=C2C=C([N+]([O-])=O)C=C6)OC7=CC=CC=C7C=[N]3CC1","ONNOalen","*C","0.76","-0.134","15.094619999999999","","0","0","1.32","*[N+](=O)[O-]","0.165","0.864","22.015260000000005","","0","0","1.32","","0","0","1.32","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
"C[N]1(C2)[Ti]34(OC5=C(C=CC=C5)O4)(OC6=C2C=C([N+]([O-])=O)C=C6)OC7=C(C(C)(C)C)C=C(C(C)(C)C)C=C7C=[N]3CC1","ONNOalen","No ligand","N/A","N/A","N/A","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*C(C)(C)C","1.92","-0.15","56.66652","","0","0","1.32","*CC*","-0.338","-0.08","11.5"
